id,nom,places,capacite,derniere_mise_a_jour_base,derniere_actualisation_bo,taux_doccupation,geo_point_2d,parking_id,inserted_at,updated_at
1258,GARE TOUMAI,245,632,2023-09-05 09:38:41,2023-09-05 09:38:44,61.23417721518988,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-05 09:41:19,2023-09-05 09:41:19
1263,HOTEL DE VILLE,229,625,2023-09-05 09:40:12,2023-09-05 09:40:21,63.36000000000001,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-05 09:43:50,2023-09-05 09:43:50
1277,HOTEL DE VILLE,224,625,2023-09-05 09:46:13,2023-09-05 09:46:23,64.16,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-05 09:48:51,2023-09-05 09:48:51
1287,ARRET MINUTE,30,137,2023-09-05 09:48:12,2023-09-05 09:48:23,78.1021897810219,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-05 09:51:21,2023-09-05 09:51:21
1307,GARE TOUMAI,241,632,2023-09-05 09:56:17,2023-09-05 09:56:24,61.86708860759494,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-05 09:58:52,2023-09-05 09:58:52
1318,NOTRE DAME,232,642,2023-09-05 10:00:17,2023-09-05 10:00:25,63.862928348909655,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-05 10:03:52,2023-09-05 10:03:52
1337,PALAIS DE JUSTICE,48,70,2023-09-05 10:06:19,2023-09-05 10:06:28,31.428571428571427,"{""lat"": 46.58595804860371, ""lon"": 0.3512954265806957}",12,2023-09-05 10:08:53,2023-09-05 10:08:53
1993,GARE TOUMAI,368,632,2023-09-05 22:22:17,2023-09-05 22:22:36,41.77215189873418,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-05 22:24:42,2023-09-05 22:24:42
2739,NOTRE DAME,415,642,2023-09-06 06:40:20,2023-09-06 06:40:19,35.3582554517134,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-06 06:43:08,2023-09-06 06:43:08
2753,NOTRE DAME,408,642,2023-09-06 06:46:21,2023-09-06 06:46:20,36.44859813084112,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-06 06:48:09,2023-09-06 06:48:09
2762,THEATRE,167,320,2023-09-06 06:48:23,2023-09-06 06:48:20,47.8125,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-06 06:50:39,2023-09-06 06:50:39
52,HOTEL DE VILLE,441,625,2023-09-04 23:20:07,2023-09-04 23:20:06,29.439999999999998,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-04 23:23:37,2023-09-04 23:23:37
58,NOTRE DAME,446,642,2023-09-04 23:20:07,2023-09-04 23:20:06,30.529595015576323,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-04 23:23:42,2023-09-04 23:23:42
